P00000679,CARROLL JERRY LEON,P,C00214999
P00001099,MARCINEK ALOYSIUS R,P,
P00003160,WELLS THOMAS BAXTER,P,C00571224
P00003244,WINTERBOTTOM THOMAS FRANCIS,P,C00549923
P00003392,CLINTON HILLARY RODHAM,P,C00575795
P00003640,LANCE-COUNCIL TEMPERANCE ALESHA,P,C00345082
P00003715,ASHE WARREN RODERICK ,P,C00576843
P00003756,MARTISKO MIKE BENJAMIN,P,
P00003814,MALONE JOAN,P,C00428987
P00003897,WALLACE WILLIAM LEONARD,P,C00577791
P00003962,SCHRINER JOSEPH CHARLES,P,C00385153
P00004135,HANKINS GERALD LAMAR MR,P,C00350058
P00004275,BROWN HARLEY D,P,C00569442
P00004507,EDWARDS JENNY,P,C00356402
P00004580,BOYDSTON J FATHER REV,P,
P00004846,IWACHIW WALTER N,P,C00599423
P00004861,BICKELMEYER MICHAEL,P,C00553206
P20000055,LEE KIP,P,C00484675
P20000089,FELLURE LOWELL JACKSON,P,C00536367
P20000444,WORTHY HOWARD,P,C00584771
P20000550,HOWARD MILDRED (MILLIE),P,C00587162
P20001145,MORASCINI DAVID JOHN,P,C00304014
P20001905,LEE ROBERT,P,C00369942
P20002051,RUNDBERG JIM L,P,C00572446
P20002101,SINGLETON KEITH,P,C00585091
P20002176,NEVEU DEONIA P,P,C00578070
P20002283,WILLIAMS KENT LIONEL,P,C00498428
P20002309,DRAKE PATRICK ANTHONY,P,
P20002440,DENAME MICHAEL JR,P,C00492546
P20002481,RAMOS LUIS ALBERTO JR,P,C00492694
P20002499,DUMMETT JOHN ALBERT JR,P,C00568576
P20002580,CHEHADE PAUL,P,C00494963
P20002630,TITTLE SHEILA "SAMM",P,C00495069
P20002671,JOHNSON GARY,P,C00605568
P20002721,SANTORUM RICHARD J.,P,C00578492
P20002838,HILL CHRISTOPHER V,P,C00567743
P20002861,HUNT EUGENE ROSELL JR,P,C00550061
P20002929,DAY TIM (TEXAS SLIM),P,C00497339
P20002986,POWERS C,P,C00497552
P20003000,DOMAGALA KENNETH M,P,
P20003042,LAX MILLER LORETTA,P,C00499194
P20003141,FERGUSON JOHN GREEN,P,C00498766
P20003158,STAINFIELD TAMI L,P,C00498824
P20003174,SPONHEIM DAVID JON,P,C00499723
P20003216,STAGG SILVIA,P,C00500082
P20003281,PERRY JAMES R (RICK),P,C00500587
P20003372,JUDY CODY ROBERT,P,C00501593
P20003604,STRICKLAND TIMMY WAYNE,P,C00505040
P20003612,LOPEZ AURORA,P,C00503029
P20003653,STORY RICKEY JOE,P,C00503771
P20003711,SWANSON KARIN LYNN,P,C00503763
P20003851,ELGAR MISS BETSY PAULINE,P,C00507947
P20003877,JONES TERRY DR,P,C00546424
P20003901,GLORE TODD RICHARD,P,C00559864
P20003950,LAWSON EDGAR A,P,C00583674
P20003984,STEIN JILL,P,C00581199
P20004065,WELLS ROBERT CARR JR,P,C00506055
P20004081,CHRISTENSON DAVID ANDREW,P,C00506337
P20004099,WHEELOCK TERRY WAYNE,P,C00506402
P20004289,HAYDEN JAMES A,P,
P20004297,MENARD ROLAND DURPHY III,P,C00565564
P20004446,JULIUS TYRONE ,P,C00509042
P20004503,STONE DR DAMIAN,P,C00513267
P20004537,SLOAN SAM,P,C00562637
P20004586,BAKER JACOB,P,C00510628
P20004719,HOLCOMB DAVID CHRISTOPHER,P,C00513630
P20004768,JACOB-FAMBRO PRINCESS KHADIJAH M PRES,P,C00514372
P20004909,SANDERA ROBERT WILLIAM,P,C00520304
P20004958,PENDLETON MARK C,P,
P20005070,CRONIN ANTHONY JOSEPH JR,P,
P20005138,WALKER VICTOR BRYAN,P,
P20005229,SHREFFLER DOUG,P,C00532663
P40000382,OGIN FREDERICK EUGENE,P,C00431031
P40000564,KREML WILLIAM P,P,C00591396
P40000820,MCDOWELL EDDIE,P,C00564096
P40001109,DE BUONAPARTE HRM CAESAR ST AUGUSTINE,P,C00438705
P40002446,MOLLENHOUR GRADY DEAN REV JR,P,C00586388
P40002669,BROUGHMAN DEWEY R,P,C00418848
P40002909,BUKEWIHGE EDIE MRS,P,C00388512
P40003279,MESPLAY KENT PHILIP,P,C00395475
P40003329,ROSENBERGER PAUL RUSSELL,P,C00575241
P40003576,PAUL RAND,P,C00575449
P40003584,CAVANAGH ERIC SCOTT,P,C00564880
P40003592,DEAN DANIEL LANE,P,C00564484
P40003600,ALLEN JAMES PRESSLEY,P,C00564930
P60002086,JENKINS MICHAEL DWAYNE,P,C00511774
P60002458,JEWELL ROGER HENRY,P,C00600908
P60002771,BROWN SAMMY MUREL,P,C00565952
P60003175,KALEMKARIAN TIMOTHY CHARLES,P,C00541896
P60003530,JUDD KEITH RUSSELL,P,C00532655
P60003670,KASICH JOHN R,P,C00581876
P60003688,CVOROVIC JANKA,P,C00589465
P60004322,OGLE JAMES ORLANDO III,P,
P60004405,MOOREHEAD MONICA GAIL,P,C00607788
P60004488,SAUTER DONALD,P,C00318758
P60004561,CHARLES JOSEPH,P,
P60004777,LAROSE JOSUE,P,C00457978
P60004785,COLE BRIAN ARI DR,P,C00466086
P60004793,ADESHINA YINKA ABOSEDE,P,C00489195
P60004801,JACOBSON STEVEN D,P,C00526475
P60004819,KINLAW MICHAEL WAYNE,P,C00536375
P60004827,MIMS TIFFANI EL DAWN,P,
P60004835,KELLER MARC ALEXANDER PAUL,P,
P60004843,MARTINEZ SHAWNA JOY,P,
P60004850,ZEIGER CHUCK,P,
P60004868,PERRY DARRYL W,P,
P60004876,MURPHY ROME II,P,
P60004884,STEVENS SHERLENE,P,C00545251
P60004892,TOMLINSON DWAYNE ALAN,P,
P60004900,JEROBOAN KINS,P,C00542613
P60004918,TAPE  PAUL EDWARD JR,P,C00547521
P60004926,LEHIGH ROBERT FANE,P,
P60004934,CROTZER EZEKIEL GEORGE,P,C00550079
P60004942,RUSSELL BRIAN PATRICK KETTERER,P,C00548800
P60004959,JONES VINCENT CHARLES II,P,
P60004967,BYERS JAMES ROBERT,P,
P60004975,DIGGS MICHAEL WAYNE,P,
P60004983,SCRIGNA ANGELO YOSHANNAH,P,
P60004991,LLOYD JUNE LA'GAY,P,C00550111
P60005006,HENDRIX DAVID QUINN,P,C00551994
P60005014,BRALICH PHILIP A,P,
P60005022,DILLON STEVE ALLEN,P,C00552059
P60005030,CINTRON DORIS,P,
P60005048,JOHNSON BARRY L,P,C00552158
P60005055,STEINBERG MICHAEL ALAN,P,C00552836
P60005063,SCHWARTZ JOHN GRAHAM,P,
P60005071,HUBBELL MICHAEL WAYNE,P,C00552729
P60005089,LEONARD JERRY L,P,C00553107
P60005097,SEWELL JAMES MCCORD III MRS,P,
P60005105,DUTTER MARK JOSEPH,P,C00554790
P60005113,SOPKOVICH NICHOLAS ALEXANDER,P,C00554998
P60005121,ALLEN-REESE POGO MOCHELLO,P,C00557504
P60005139,WILLEY TODD WADE,P,
P60005147,CAMPBELL JOHNNIE C,P,C00556852
P60005154,CLARK BRITTANY LAUREN,P,C00556951
P60005162,DEBOW MR PAUL W,P,C00562512
P60005170,SCHIESS JOHN T,P,C00590083
P60005188,CANNADAY PAUL BENJAMIN-DIELMAN,P,C00557744
P60005196,WALKER DORIS V,P,C00560318
P60005204,WILLIAMS ELAINE WHIGHAM,P,C00558999
P60005212,DUTTON KRISTI FREELAND,P,
P60005220,MULLIKIN TONY,P,
P60005238,MCCALL ANGIE,P,
P60005246,BORRELL ERIC JAMES,P,
P60005253,LOWER BARTHOLOMEW JAMES MR.,P,C00560813
P60005261,JUSTICE BRENDA DAWN,P,C00576728
P60005279,BOWERS KERRY DALE,P,C00562728
P60005287,LAW JAMES T,P,C00562389
P60005295,CONGER AMY,P,
P60005303,FOX CHERUNDA LYNN,P,C00563536
P60005311,TARLOW ZACHARY,P,
P60005329,WILLS KRYSTIN ALEXIS,P,C00563908
P60005337,RONDEAU DON LARANCE,P,
P60005345,SHERMAN JEFFERSON WOODSON,P,C00575217
P60005352,FARBER STUART ROSS,P,C00565267
P60005360,OWENS DANIEL ROBERT,P,
P60005378,MCKART PATRICK STEPHEN,P,
P60005386,MACKIMZEY DEBORAH MAE,P,
P60005394,MEI RUBY,P,C00566166
P60005402,ARMSTRONG BRANDON CHRISTINA,P,C00578765
P60005410,MARKOVICH BARBARA MAE ADAMS,P,C00566695
P60005428,BAKER EDWARD LANE,P,C00566927
P60005436,KINSEY RONALD LOUIS,P,
P60005444,MENIER THOMAS KENT SR,P,
P60005451,COLE SCOTT MICHAEL,P,
P60005469,SMITH KEITH,P,
P60005477,RAVISHANKER DINESH,P,C00568972
P60005485,TAYLOR DEACON NEWELL,P,
P60005493,SMITH SCOTT ANDREW,P,C00569467
P60005501,CHRISTENSEN DALE H,P,C00569400
P60005519,PAVILACK HARRY,P,C00569459
P60005527,KUFFEL ROBERT ELLERY,P,
P60005535,EMRIT RONALD SATISH,P,C00569897
P60005543,ALDRIDGE ROBERT FRANK,P,C00569780
P60005550,BOLAR SHELIA MARIAH,P,C00570077
P60005568,WOOD JOHN JOSEPH,P,C00570127
P60005576,USERA JOSHUA DAVID,P,
P60005584,HODGE CHARLES JUNIOR,P,C00607077
P60005592,ANDREWS CHARLES PERRY III,P,C00570358
P60005600,TYLER MATHEW LEE,P,
P60005618,BLASS PIOTR DR,P,C00570689
P60005626,PETYO MICHAEL EDWARD,P,
P60005634,PETER RICHARD,P,C00570184
P60005642,BONPASSE MORRISON MCKELVY,P,C00571232
P60005659,ARAYLE NICOLE LYNN,P,
P60005667,LUNDE BARBARA JEAN,P,
P60005675,DAVIDSON MARGARET M,P,
P60005683,CAFFREY ANDREW AUGUSTINE IV,P,C00571307
P60005691,OLEWINE SCOT GRANT,P,
P60005709,DUCKWALD WANDA GAYLE,P,C00576629
P60005717,LEWIS JR JULIAN BISHOP,P,C00571489
P60005725,FELDMAN MARC ALLAN,P,C00571471
P60005733,SHO MUHAMMAD,P,C00571653
P60005741,ABERNATHY CHRISTOPHER SCOTT,P,
P60005758,HILL PHILLIP KENNETH SR,P,C00572008
P60005766,BUSH WILLITA D,P,C00572032
P60005774,SCARBOROUGH LARRY D,P,C00572065
P60005782,DUKE RONALD,P,C00572297
P60005790,SPEARS ALAN ERROL ESQ.,P,C00575969
P60005808,KAHN LYNN SANDRA,P,C00577817
P60005816,HORN CHRISTOPHER DARREN MR.,P,
P60005824,PRUITT WILLIAM JASON MR.,P,C00572636
P60005832,REEDY DARWIN MISHA ROSE,P,C00572875
P60005840,ABBOTT GIFFORD WHEELER JR,P,
P60005857,HYDE JUSTIN NICHOLAS MR.,P,
P60005865,RAPHAEL DAVID MD,P,C00573337
P60005873,WINDETT JEFFREY JAMES MR,P,
P60005881,PINKNEY BUTTS PAMELA M REV,P,
P60005899,BOWHALL WILLIAM ERNEST JR,P,
P60005907,FLEMING-HODGE LORI LYNN,P,C00573865
P60005915,CARSON BENJAMIN S SR MD,P,C00573519
P60005923,BRUCATO GEORGE JAMES,P,
P60005931,BUTTOCKS SYDNEYS VOLUPTOUS,P,C00573543
P60005949,HAHN MARTIN,P,C00573998
P60005964,MICHAELS DANIEL TRAVIS,P,C00573667
P60005972,EVERSON MARK,P,C00573816
P60005980,JONES SUE LISA,P,
P60005998,LAUREL-SMITH ABBEY,P,
P60006012,MITCHELL JAMES CREIGHTON MR JR,P,C00573972
P60006038,PFLEIDERER REBECCA,P,
P60006046,WALKER SCOTT,P,C00580480
P60006053,ANDERSON JOSEPH EDWARD DR. JR.,P,
P60006061,GIVIDEN KENN,P,C00574582
P60006079,WAYMIRE BARBARA JOY,P,
P60006087,BENNETT DANNY MICHAEL MR. II,P,
P60006095,LAVIGNE JONATHAN PAUL,P,
P60006103,DUFFY ANDREW ELIJAH MISTER,P,
P60006111,CRUZ RAFAEL EDWARD "TED",P,C00574624
P60006129,EVANS JONATHAN THOMAS,P,
P60006137,BRUMMETT JAMES CARL,P,
P60006145,CINCOTTA CHRISTOPHER JOHN,P,
P60006152,SHEPARD RYAN W MR.,P,C00575852
P60006160,RHODES LEE,P,C00574707
P60006178,BORIS ROBERT,P,
P60006186,BORIS ROBERT IGOR MR.,P,
P60006194,FANNING CHARLES RAYMOND,P,C00574863
P60006210,IRWIN THOMAS J,P,C00571612
P60006228,KERBEL STEVEN ELLIOTT,P,
P60006236,CASTLEBERRY FRANCIS RAYMOND,P,C00575621
P60006244,QUARTEY MARY AKU,P,C00570192
P60006251,SHRUM RICHARD LYNN MR,P,
P60006277,INCE CECIL ANTHONY,P,C00575803
P60006285,PICA LOUIS S,P,C00575704
P60006293,CAPONE DEAN ALAN MR.,P,C00575134
P60006301,SHAHMORADI ANTHONY AHMED,P,
P60006319,BREYFOGLE PETER HOWARD MR,P,C00575142
P60006327,OLEYAR JEFFREY M,P,C00575159
P60006335,TORREZ MATTHEW MR.,P,
P60006343,DONGES KEVIN A,P,
P60006350,JACKSON ROLAND,P,
P60006368,REED C C,P,C00575225
P60006376,PODERS ERIC M,P,
P60006392,TAUS DAN B.,P,
P60006400,MILLIGAN JEREMY LEE MR.,P,
P60006418,KAMINSKY GLENN MR.,P,C00575357
P60006426,LOWE DONALD EUGENE,P,C00575365
P60006434,DONALDSON KENNETH,P,
P60006442,GAFFEN ADAM,P,
P60006459,MCNEAL JOHNSON WILLIAM JOSEPH,P,
P60006467,SABBAG DOUGLAS WALTER,P,
P60006475,MACLEOD ROBERT ALLEN MR. JR.,P,C00575514
P60006483,JANDA DARIN DONALD MR,P,
P60006491,WHITE DANIEL,P,
P60006509,BONIFICIA ANTHONY A JR,P,
P60006517,HOWARD WILLIAM BURN MR,P,C00575407
P60006525,FOSTER GREGORY A,P,C00575613
P60006533,O'GRADY TIMOTHY PATRICK,P,
P60006541,PERERA RYAN JOSEPH QUINTON MR.,P,
P60006558,MURPHY JUSTIN ROBERT MR,P,
P60006566,SIGSBY ROBERT WAYNE,P,C00575720
P60006574,THOMAS JUDAH,P,
P60006582,HOGAN DANIEL JARED MR,P,C00575779
P60006590,SHIRLEY MARK G,P,
P60006608,OATMAN MICHAEL REVEREND,P,C00594556
P60006616,BERMAN MARYANNE BRIDGET,P,
P60006624,FROEBER WILL MR.,P,
P60006632,NAGEL ERIC,P,C00575787
P60006640,MOYNIHAN SHAWN STEPHEN,P,
P60006657,MCMANUS MYLES MR.,P,
P60006665,MICKERT ANDREW CHARLES,P,
P60006673,DEAME KEVIN,P,
P60006681,MCEACHERN JENNIFER ANN,P,
P60006699,LIVINGSTON DAVID BLAINE,P,
P60006707,RAFFONE JOHN LOUIS MR,P,
P60006715,NEFF CRAIG ALAN MR.,P,
P60006723,RUBIO MARCO,P,C00458844
P60006731,MILLER RAYMOND MELVIN,P,C00575191
P60006749,LYNCH WILLIAM THOMAS MR,P,C00576546
P60006756,SKEENS D R,P,
P60006772,OWENS WARREN PATRICK,P,C00576025
P60006780,CROMBIE MELODY ANNE MRS.,P,
P60006798,KLINE CHAD CHRISTOPHER,P,
P60006806,SALYER WILLIAM BRIAN,P,
P60006814,LYNCH DENNIS M,P,C00576074
P60006822,PERRY CHARLES CHAZ LELAND III,P,
P60006830,VANDEWEGE MARK ALLEN,P,C00576165
