C00171538,LAROUCHE CAMPAIGN,P,P60000452
C00188888,INDEPENDENT DEMOCRATS FOR LAROUCHE,P,P60000452
C00202176,WILLIE CARTER FOR PRESIDENT COMMITTEE,P,P80000268
C00214999,JERRY CARROLL COMMITTEE FOR PRESIDENT,P,P00000679
C00283325,DEMOCRATS FOR AMERICUM,P,P00000729
C00297259,COMMITTEE TO ELECT FRANK STARR PRESIDENT,P,
C00302919,KEITH RUSSELL JUDD FOR PRESIDENT OF USA 2016,P,
C00303214,ALAN KEYES FOR PRESIDENT '96 INC,P,P60003076
C00304014,COMMITTEE TO ELECT DAVID J MORASCINI PRESIDENT,P,
C00329706,LAROUCHE'S COMMITTEE FOR A NEW BRETTON WOODS,P,P60000452
C00341719,RANDY CROW FOR PRESIDENT,P,P00003343
C00341750,CAMPAIGN TO ELECT LARRY K REED UNITED STATES VICE PRESIDENT THE UNCORRUPTIBLE COMMITTEE,P,P00003772
C00342774,BAUER FOR PRESIDENT 2000 INC.,P,P00003491
C00346163,KEYES 2000 INC,P,P60003076
C00363440,VERNON WELKER FOR US PRESIDENT COMMITTEE,P,
C00364091,LAROUCHE IN 2004,P,P60000452
C00378125,DEAN FOR AMERICA,P,P40002214
C00384073,EDWARDS FOR PRESIDENT,P,P40002347
C00384388,SHARPTON 2004,P,P40002404
C00385153,SCHRINER PRESIDENTIAL ELECTION COMMITTEE,P,P00003962
C00386631,INHUMANITY CHILD ABUSE CHRISTIANITY CAPITALISM,P,P60004272
C00388512,BUKEWIHGE FOR PRESIDENT,P,
C00395475,MESPLAY FOR PRESIDENT,P,P40003279
C00408948,NCP NEW CENTURY PARTY CAMPAIGN AMERICA GRASS ROOTS PRESIDENTIAL CAMPAIGN COMMITTEE,P,
C00414912,IMPALER FOR PRESIDENT 2012; THE,P,P80002884
C00415554,JOHN W STEVENSON FOR PRESIDENT INC,P,P80002918
C00415679,LAURA DAVIS AARON PRESIDENTAIL COMMITTEE 2008 INC AARON FOR PRESIDENT 2008 INC,P,P80002926
C00416362,DOC RAVEN FOR PRESIDENT IN 2008,P,P60003456
C00417311,HAYWARD FOR PRESIDENT AIDES GENOCIDE DISMANTLING RESEARCH ASSOCIATION PRESIDENTIAL,P,P80002959
C00418566,RUTH BRYANT WHITE FOR PRESIDENT 2008 MORE THAN A WOMAN PRESIDENTIAL CAMPAIGN 2008,P,P80002967
C00421743,SHERRY A MEADOWS FOR PRESIDENT COMMITTEE,P,P80003031
C00423640,PRESIDENT WARREN RODERICK ASHE,P,P00003715
C00426049,COMMITTEE TO ELECT DAVID KOCH PRESIDENT,P,P80003155
C00426064,AMERICAN PARTY; THE,P,P80003148
C00427252,PAUL RUSSELL ROSENBERGER FOR  PRESIDENT USA IN 2000-2016,P,P40003329
C00428417,COMMITTEE TO ELECT JEFF DAVIS PRESIDENT IN 2012,P,P20001921
C00428599,MERCER FOR PRESIDENT,P,P80003205
C00429514,PRESIDENT EMPEROR CAESAR,P,P80003221
C00430504,COMMON MAN PRESIDENTIAL CAMPAIGN,P,P80003270
C00431031,FREDRICK EUGENE OGIN,P,P40000382
C00431155,JOE HONEYCHURCH FOR PRESIDENT,P,P80003346
C00431171,ROMNEY FOR PRESIDENT, INC.,P,P80003353
C00431445,OBAMA FOR AMERICA,P,P80003338
C00431940,MICHAEL SUGERMAN FOR PRESIDENT,P,P80003551
C00431999,JOHN JOSEPH KENNEDY FOR PRESIDENT 2008 (FRIENDS OF JJK),P,P40003519
C00432062,JINGOZIAN FOR PRESIDENT,P,P80003304
C00432070,DANNY HINKLE'S EXPLORATORY COMMITTEE FOR PRESIDENCY,P,P80003619
C00432120,COMMITTEE TO ELECT JAMES C MITCHELL JR PRESIDENT,P,P80003635
C00432138,CLAIRE ELISABETH ELLIOTT IS AMERICA,P,P80003643
C00432179,KOTTO FOR PRESIDENT COMMITTEE,P,P80003700
C00432187,COMMITTEE TO ELECT EAMON CLUNE TO OFFICE OF PRESIDENT OF THE UNITED STATES OF AMERICA,P,P80003718
C00432203,ISABELLE LEE FOR MONROE LEE PRESIDENT 2016,P,P80003734
C00432385,ALEX HUTTON PRESIDENTIAL ELECTION COMMITTEE,P,P80003775
C00432443,LEE EXPLORATORY COMMITTEE,P,P80003791
